600;9,3;7,9;1;23,4;0,03;1;983
66,7;9,9;5,3;1;3,7;0,02;4;892
13,3;10,6;7,3;0;12,2;0,07;2;1155
400;11,1;15,5;0;12,2;0,08;2;1155
250;4,4;11,9;1;12,2;0,07;2;1155
400;4;8,2;0;11,8;0,06;3;1209
200;11,1;8;0;11,8;0,03;3;1209
48;4,6;13,4;0;16,2;0,06;2;991
60;9,6;5,6;1;16,2;0,04;2;991
4;9,3;6,9;0;21,4;0,06;4;809
500;6,5;5,2;0;21,4;0,04;4;809
400;15,2;19,6;1;84,7;0,25;4;623
200;21,1;19,7;1;84,7;0,41;4;688
45;17,1;32,5;1;84,7;0,45;4;688
400;29;26,4;0;84,7;0,24;4;670
53;26,7;41,6;0;84,7;0,78;4;612
16;25,7;31,1;1;84,7;0,31;4;613
400;15,6;43,2;1;84,7;0,68;4;579
216;9,4;28,9;1;84,7;0,39;4;577
200;2,8;16,9;0;84,7;0,25;4;623
400;12,3;53,2;0;84,7;0,52;4;567
40;16,2;17;0;84,7;0,36;4;623
200;24,7;24,3;1;111,1;0,08;5;492
150;27,2;17,4;1;111,1;0,13;5;541
400;26,8;32,3;0;111,1;0,2;5;457
500;25,7;18,9;0;111,1;0,21;5;531
160;26,5;17,5;1;49,6;0,64;8;452
160;22,5;38,6;1;49,6;0,73;8;482
300;23,4;17,9;0;49,6;1,12;8;517
600;22,7;13,7;1;49,6;1,11;8;517
66;24,1;7,5;1;49,6;0,57;8;457
13;25,1;8,3;0;49,6;0,95;8;457
400;23,2;5,6;0;49,6;0,69;8;508
250;4,9;11,4;1;49,6;0,74;8;508
400;6,2;7,1;0;49,6;0,54;8;533
200;19,7;6,8;0;49,6;0,8;8;533
48;22,3;21;0;49,6;0,97;8;580
60;21,3;9,5;1;49,6;0,83;8;580
54;20,4;4,4;0;49,6;1,04;8;606
80;19,3;7,1;0;49,6;0,6;8;577
80;17,8;14,5;0;49,6;0,81;8;577
80;22,2;19,6;1;49,6;0,59;8;577
240;20,8;17,2;0;49,6;0,94;8;655
180;5,4;8,5;1;49,6;0,92;8;655
120;12,2;11,4;0;39,4;0,15;6;978
80;15,7;13,3;1;39,4;0,17;6;978
200;18,9;20,5;0;39,4;0,2;6;1001
160;15,3;22,3;0;39,4;0,19;6;1001
4;2,3;20,2;0;39,4;0,19;6;1112
500;22,2;9,3;0;39,4;0,23;6;1112
400;20,4;22,5;1;46,9;0,37;7;1257
200;10,1;33,2;1;46,9;0,34;7;1257
45;23;16,5;1;46,9;0,61;7;1273
400;14,2;18,3;0;46,9;0,35;7;1273
56;5,1;17,1;0;46,9;0,3;7;1237
16;3,8;11,8;1;46,9;0,34;7;1237
400;2,6;10,6;1;46,9;0,25;7;1169
216;2;6,5;1;46,9;0,39;7;1169
200;2,4;6,4;0;46,9;0,15;7;1407
400;9,3;6,4;0;46,9;0,66;7;1407
40;5,5;11,8;0;29,1;0,09;1;1457
200;9,9;16,7;1;29,1;0,06;1;1457
150;25,2;5,6;1;30;0,03;3;1001
400;29;9,2;0;31,8;1,1;5;285
500;29;14;0;31,8;1,19;5;299
160;23,7;12,4;1;31,8;1,18;5;318
160;25,9;17,3;1;31,8;0,97;5;334
300;26,5;13,1;0;31,8;0,96;5;338
600;27,4;10,6;1;31,8;0,94;5;362
500;22,9;9;0;18,5;0,01;1;646
400;17,7;16,5;1;56,6;0,05;2;785
200;13,3;7,3;1;56,6;0,05;2;785
45;15,7;5,3;1;17,4;0,06;3;958
400;17;9,6;0;17,4;0,12;3;958
53,33;19,3;9,4;0;17,4;0,05;3;958
16;27,9;22,4;1;63;0,16;5;879
400;29;34,5;1;63;0,26;5;940
216;24,9;53,9;1;63;0,38;5;961
200;27,3;30,8;0;63;0,31;5;1042
400;24;36,8;0;63;0,4;5;1003
40;11,3;23,9;0;63;0,21;5;984
200;17,9;28,3;1;63;0,17;5;861
150;24,5;14,9;1;65,1;1,13;4;744
400;16,4;18,5;0;65,1;1,15;4;705
500;8,5;15,2;0;65,1;1,13;4;711
160;23,7;11,8;1;65,1;1,9;4;711
160;10,6;26,4;1;65,1;1,41;4;673
300;20,2;21;0;65,1;1,44;4;600
600;28,4;20,3;1;65,1;1,31;4;600
66,67;25,9;37,8;1;65,1;2,25;4;600
66,67;26,6;24,9;0;65,1;1,53;4;634
400;29;33,7;0;65,1;2,22;4;628
250;27,3;35,8;1;65,1;1,78;4;647
400;24,9;29,3;0;65,1;1,35;4;695
200;26,2;29,7;0;65,1;1,51;4;704
48;25,8;26,7;0;65,1;1,21;4;740
60;27,4;31,1;1;65,1;1,72;4;704
54;25,3;23;0;65,1;1,39;4;704
80;27,3;21,6;0;65,1;1,8;4;670
80;29;40,7;0;65,1;2,04;4;669
80;23,8;23,5;1;65,1;2,44;4;660
240;27,6;49,9;0;65,1;2,5;4;630
180;28,1;33;1;65,1;2,07;4;598
120;19,8;36,6;0;65,1;2,9;4;594
80;17,8;17,4;1;47,7;0,12;5;531
200;12;20,5;0;47,7;0,18;5;534
160;8,8;15,8;0;47,7;0,14;5;622
4;6,3;18,2;0;47,7;0,32;5;608
500;4,6;7,8;0;23,6;0,05;3;853
400;0,8;3,6;1;23,6;0,06;3;853
200;1,9;8,7;1;55,3;0,23;3;904
45;1,9;10,5;1;55,3;0,25;3;904
400;11,6;13,4;0;55,3;0,29;3;904
53;9,8;17,2;0;55,3;0,22;3;904
16;9,7;18,4;1;55,3;0,31;3;806
400;24,8;25,5;1;55,3;0,34;3;806
216;27,6;33,8;1;55,3;0,41;3;899
200;18;55,5;0;55,3;0,46;3;927
400;13,3;29,2;0;55,3;0,4;3;962
40;18,3;24,2;0;45,1;0,16;4;1077
200;6,1;17;1;45,1;0,08;4;1077
150;6,2;9,5;1;45,1;0,1;4;1077
400;13,8;15,2;0;45,1;0,09;4;1077
500;6,4;26,6;0;32;0,02;3;1157
160;10,4;8,7;1;9,8;0,02;5;1374
160;11,7;10,4;1;5,9;0,04;2;1452
300;8,5;7,1;0;10,6;0,03;5;1315
600;13,7;12,3;1;41;0,28;8;1235
67;19,2;16,6;1;41;0,19;8;1095
13;27,1;23,7;0;41;0,27;8;1142
400;19,7;26;0;41;0,31;8;1077
250;12,6;12,1;1;41;0,2;8;1142
400;17,3;17,1;0;41;0,23;8;1261
200;5,2;14,5;0;11;0,04;3;1457
48;9;8,4;0;27;0,06;4;1045
